skill_id,skill_percentage_rolling,skill_changes_1y,skill_name,in_demand
FS004820,0.009779506369171515,-0.05894991258900305,Microsoft Windows,True
FS004877,0.002115573872462969,3.5573420801309275,Mobile Device Management (MDM),True
FS005054,0.0020704539302064313,-0.160838947513372,Network Administration,False
FS005056,0.001480906952353058,-0.142505177392671,Network Architecture,False
FS005069,0.00011438282759318875,-0.13727307506954622,Computer Network Infrastructure,False
FS005072,0.00010962342847969707,-0.1657435220362755,Computer Network Management,False
FS005073,0.0004381477664061336,-0.14589099411664092,Network Management Systems,False
FS005080,0.0013865681139779223,-0.221763651171522,Network Protocols,False
FS005082,0.0022126907741973015,-0.11670089442196013,Network Security,False
FS005087,0.0012996094892060864,-0.10043074740938102,Network Troubleshooting,False
FS005173,0.003251309073250329,-0.25524767045377333,Object Oriented Programming (OOP),True
FS005252,0.01029195946799269,-0.12983956668464583,Operating Systems (OS),True
FS005454,0.00020968612570057386,-0.1079943792719124,Pattern Recognition,False
FS005503,0.0023451677050281257,-0.1498979210781646,Performance Tuning,False
FS005815,0.007461123388229228,-0.15123767799864773,Problem Management,True
FS005816,0.1401791691521161,-0.06846378013522608,Problem Solving,True
FS005935,0.06302030440382902,-0.09064710281849558,Project Management,True
FS006051,0.020193480476551715,-0.06420503155709076,Python,True
FS006179,0.0003331474546864582,5.7643678762416855,Military Reconnaissance,False
FS006181,0.004382840487596036,-0.16796327314632037,Records Management,True
FS006241,0.0006148535625669612,-0.219508633787003,Regression Analysis,False
FS006258,0.006444173983377935,-0.1298748102605462,Relational Databases,True
FS006305,0.01939036856755285,-0.13585421460093564,Requirements Analysis,True
FS006307,0.00364508120871503,-0.12197746280717461,Requirements Management,True
FS006345,0.00028675903821685317,-0.32700850026647477,Responsive Web Design (RWD),False
FS006398,0.011137161657697873,-0.03635732531406091,Risk Assessment,True
FS006408,0.0012791671361855825,0.03111856341327611,Risk Prevention,False
FS006611,0.02721824873548584,-0.1240853060707856,Security,True
FS006612,0.00074207838116021,-0.15237477054152357,Security Administration,False
FS006613,0.0003705412358270415,-0.08357660052753269,Information Security Analysis,False
FS006617,0.0019325257052368056,-0.0802428422697632,Security Controls,False
FS006620,0.0003969904956581857,-0.10320959081955719,Security Engineering,False
FS006623,0.0026147027504179595,-0.09827985212641889,Security Management,False
FS006625,0.006030882021593142,0.2612463758027445,Security Policies,True
FS006627,0.00025457543628200856,-0.13912258564031219,Security Strategies,False
FS006859,0.018913474679729394,-0.16346637148877405,Software Development,True
FS006860,0.005701288391354864,-0.11189144511621761,Software Development Life Cycle (SDLC),True
FS006900,0.0015765981310049346,-0.004455275176378036,Solution Architecture,False
FS007083,5.450245813005117e-05,-0.28132618182684627,Information Storage Management,False
FS007086,0.0012492269514540136,-0.03820574451739984,Stored Procedures,False
FS007118,0.0006645756550676022,0.13758002787882215,Structural Analysis,False
FS007139,0.020264032802617352,-0.04225751392646389,Structured Query Language (SQL),True
FS007154,0.0007829421206852993,0.07746247072004296,Style Guides,False
FS007247,0.0035473457947611028,-0.10852327094278386,System Administration,True
FS007255,0.0031034741695092284,-0.16549965880640485,System Monitoring,False
FS007257,0.00031096488084472165,-0.16052176842320198,System Recovery,False
FS007330,0.001638983999120329,-0.22802261422331946,TCP/IP,False
FS007475,0.0010456630484016317,-0.11461338597153928,Threat Assessment,False
FS007476,0.0015276727661091953,-0.07494590192489861,Threat Detection,True
FS007477,0.00024397686248522424,-0.1379103174084849,Threat Management,False
FS007573,0.0021469712300508713,-0.19728061096036595,Transmission Control Protocol (TCP),False
FS007706,0.000934068767425599,-0.14382277002408406,User Account Management,False
FS007719,0.0013380935291744298,-0.32971682237377026,User Interface Design (UI Design),False
FS007806,0.0011159008767284914,-0.18766646543458285,Video Editing,False
FS007819,0.00020956032660506306,-0.2068877132856111,Virtual Computing,False
FS007823,0.0005131030608146479,-0.15261324119901085,Virtual Local Area Network (VLAN),False
FS007825,0.00041883760524522685,-0.12730676223210788,Virtual Machines,False
FS007832,0.0028656929124779105,-0.2095832736601668,Virtualization,False
FS007846,0.0012567958637005798,-0.2654885928815154,Visual Design,False
FS007880,0.0018670367927654786,-0.1266573135050433,Vulnerability Assessment,False
FS007882,0.0007601410346239681,-0.13311305375800142,Vulnerability Management,False
FS007883,0.0009086783166483372,-0.17355353942341384,Vulnerability Scanning,False
FS007945,0.001102325057671285,-0.3257828347137252,Web Administration,False
FS007947,0.003840772185040028,-0.2684537284914065,Web Application Development,True
FS007949,0.005964418166131607,-0.18051717626237054,Web Applications,True
FS007954,0.002148533235486797,-0.1911049964249677,Web Design,False
FS007955,0.006766062419016177,-0.2263633731676551,Web Development,True
FS007956,0.0003234818908480456,-0.4287821142592021,Web Engineering,False
FS007959,0.00068141176735013,0.05218411387899057,Web Navigation,False
FS007960,0.0009652250100804388,-0.2009759133063695,Web Pages,False
FS007973,0.0001236185778552728,-0.33133139046182347,Website Architecture,False
FS007974,0.001594671267726652,-0.24316377002418557,Website Management,False
FS008034,0.002614587434580408,-0.16534431144292475,Windows Server,False
FS008035,0.00027034225625269465,-0.1338226658044362,Windows Setup,False
FS008077,0.015186330527709489,-0.153453992417673,Workflows,True
FS008232,0.005025988363394966,-0.03522021465250515,Microsoft 365,True
FS008262,0.005215944997616264,-0.08625429271834627,Asset Management,True
FS008274,0.034010666065011526,0.018521965533678582,Manufacturing,True
FS008279,0.015304026064817795,-0.15925193948183017,Best Practices,True
FS008307,0.04448590433190548,-0.07467212514876755,Troubleshooting,True
FS008449,0.0002803432843458027,-0.22620518154354075,Web Accessibility,False
FS008457,0.008863972001817839,0.04148427476407635,Microsoft Azure Cloud Services,True
FS008484,5.220662463697919e-05,0.043589424778271955,Esri ArcPy,False
